Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.02     0.00        1     0.00     0.00  std::_Vector_base<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::_Vector_impl::~_Vector_impl()
  0.00      0.02     0.00        1     0.00     0.00  std::_Vector_base<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.02     0.00        1     0.00     0.00  std::_Vector_base<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::_Vector_base()
  0.00      0.02     0.00        1     0.00     0.00  std::_Vector_base<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::~_Vector_base()
  0.00      0.02     0.00        1     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator--()
  0.00      0.02     0.00        1     0.00     0.00  std::__new_allocator<int*>::deallocate(int**, unsigned long)
  0.00      0.02     0.00        1     0.00     0.00  std::__new_allocator<int*>::allocate(unsigned long, void const*)
  0.00      0.02     0.00        1     0.00     0.00  std::__new_allocator<std::vector<bool, std::allocator<bool> > >::deallocate(std::vector<bool, std::allocator<bool> >*, unsigned long)
  0.00      0.02     0.00        1     0.00     0.00  std::__new_allocator<std::vector<bool, std::allocator<bool> > >::allocate(unsigned long, void const*)
  0.00      0.02     0.00        1     0.00     0.02  std::vector<bool, std::allocator<bool> >* std::__uninitialized_fill_n<false>::__uninit_fill_n<std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > >(std::vector<bool, std::allocator<bool> >*, unsigned long, std::vector<bool, std::allocator<bool> > const&)
  0.00      0.02     0.00        1     0.00     0.00  int& std::deque<int, std::allocator<int> >::emplace_back<int>(int&&)
  0.00      0.02     0.00        1     0.00     0.00  std::deque<int, std::allocator<int> >::_M_destroy_data(std::_Deque_iterator<int, int&, int*>, std::_Deque_iterator<int, int&, int*>, std::allocator<int> const&)
  0.00      0.02     0.00        1     0.00     0.00  std::deque<int, std::allocator<int> >::back()
  0.00      0.02     0.00        1     0.00     0.00  std::deque<int, std::allocator<int> >::push_back(int&&)
  0.00      0.02     0.00        1     0.00     0.00  std::deque<int, std::allocator<int> >::deque()
  0.00      0.02     0.00        1     0.00     0.00  std::deque<int, std::allocator<int> >::~deque()
  0.00      0.02     0.00        1     0.00     0.00  std::queue<int, std::deque<int, std::allocator<int> > >::push(int&&)
  0.00      0.02     0.00        1     0.00     0.00  std::queue<int, std::deque<int, std::allocator<int> > >::queue<std::deque<int, std::allocator<int> >, void>()
  0.00      0.02     0.00        1     0.00     0.00  std::queue<int, std::deque<int, std::allocator<int> > >::~queue()
  0.00      0.02     0.00        1     0.00     0.02  std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::_M_fill_insert(__gnu_cxx::__normal_iterator<std::vector<bool, std::allocator<bool> >*, std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > > >, unsigned long, std::vector<bool, std::allocator<bool> > const&)
  0.00      0.02     0.00        1     0.00     0.00  std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::end()
  0.00      0.02     0.00        1     0.00     0.02  std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::resize(unsigned long, std::vector<bool, std::allocator<bool> > const&)
